user_id,product_index,label
USR_2000,13512,1
USR_2000,19831,1
USR_2000,6486,1
USR_2000,4697,1
USR_2000,15459,1
USR_2000,8343,0
USR_2000,7876,0
USR_2000,24051,0
USR_2000,765,0
USR_2000,22146,0
USR_2001,12477,1
USR_2001,14757,1
USR_2001,25228,1
USR_2001,19056,1
USR_2001,9872,1
USR_2001,20133,0
USR_2001,5928,0
USR_2001,25610,0
USR_2001,5934,0
USR_2001,23038,0
USR_2002,23754,1
USR_2002,7614,1
USR_2002,19099,1
USR_2002,16543,1
USR_2002,6402,1
USR_2002,17419,0
USR_2002,18893,0
USR_2002,1709,0
USR_2002,3517,0
USR_2002,17619,0
USR_2003,25544,1
USR_2003,10664,1
USR_2003,10053,1
USR_2003,22250,1
USR_2003,26658,1
USR_2003,18534,0
USR_2003,2543,0
USR_2003,4239,0
USR_2003,24412,0
USR_2003,22616,0
USR_2004,6946,1
USR_2004,14264,1
USR_2004,24310,1
USR_2004,5601,1
USR_2004,19829,1
USR_2004,3720,0
USR_2004,6088,0
USR_2004,18626,0
USR_2004,6265,0
USR_2004,21673,0
USR_2005,10697,1
USR_2005,23585,1
USR_2005,26784,1
USR_2005,12698,1
USR_2005,5689,1
USR_2005,13112,0
USR_2005,24793,0
USR_2005,16043,0
USR_2005,9615,0
USR_2005,25073,0
USR_2006,16536,1
USR_2006,24490,1
USR_2006,4554,1
USR_2006,10679,1
USR_2006,25126,1
USR_2006,9900,0
USR_2006,3539,0
USR_2006,22182,0
USR_2006,864,0
USR_2006,11107,0
USR_2007,26874,1
USR_2007,19893,1
USR_2007,18578,1
USR_2007,3978,1
USR_2007,13270,1
USR_2007,18413,0
USR_2007,24598,0
USR_2007,2277,0
USR_2007,23765,0
USR_2007,24980,0
USR_2008,14579,1
USR_2008,18461,1
USR_2008,17714,1
USR_2008,14552,1
USR_2008,26305,1
USR_2008,27042,0
USR_2008,9463,0
USR_2008,4209,0
USR_2008,26757,0
USR_2008,11537,0
USR_2009,22662,1
USR_2009,1349,1
USR_2009,12749,1
USR_2009,19078,1
USR_2009,26685,1
USR_2009,13102,0
USR_2009,13738,0
USR_2009,26018,0
USR_2009,23461,0
USR_2009,20260,0
USR_2010,23172,1
USR_2010,8456,1
USR_2010,22173,1
USR_2010,26299,1
USR_2010,14860,1
USR_2010,21805,0
USR_2010,9129,0
USR_2010,11427,0
USR_2010,422,0
USR_2010,26930,0
USR_2011,12047,1
USR_2011,22737,1
USR_2011,9833,1
USR_2011,2178,1
USR_2011,3067,1
USR_2011,9074,0
USR_2011,13046,0
USR_2011,21950,0
USR_2011,2417,0
USR_2011,8460,0
USR_2012,23149,1
USR_2012,6690,1
USR_2012,3129,1
USR_2012,27172,1
USR_2012,25011,1
USR_2012,27216,0
USR_2012,7972,0
USR_2012,2099,0
USR_2012,5742,0
USR_2012,4920,0
USR_2013,20174,1
USR_2013,14356,1
USR_2013,16488,1
USR_2013,12251,1
USR_2013,19117,1
USR_2013,2390,0
USR_2013,10769,0
USR_2013,17197,0
USR_2013,4846,0
USR_2013,6558,0
USR_2014,5889,1
USR_2014,3026,1
USR_2014,17776,1
USR_2014,27197,1
USR_2014,26594,1
USR_2014,23930,0
USR_2014,21873,0
USR_2014,25025,0
USR_2014,23201,0
USR_2014,7702,0
USR_2015,20354,1
USR_2015,42,1
USR_2015,14316,1
USR_2015,26547,1
USR_2015,23763,1
USR_2015,14410,0
USR_2015,3640,0
USR_2015,7082,0
USR_2015,15937,0
USR_2015,16137,0
USR_2016,20730,1
USR_2016,24837,1
USR_2016,3047,1
USR_2016,5021,1
USR_2016,4053,1
USR_2016,1247,0
USR_2016,2030,0
USR_2016,26338,0
USR_2016,26831,0
USR_2016,14271,0
USR_2017,21445,1
USR_2017,14462,1
USR_2017,24283,1
USR_2017,2673,1
USR_2017,1468,1
USR_2017,22055,0
USR_2017,7319,0
USR_2017,25499,0
USR_2017,10946,0
USR_2017,16374,0
USR_2018,6839,1
USR_2018,6581,1
USR_2018,8758,1
USR_2018,968,1
USR_2018,262,1
USR_2018,11158,0
USR_2018,8708,0
USR_2018,13286,0
USR_2018,16238,0
USR_2018,1161,0
USR_2019,18221,1
USR_2019,1195,1
USR_2019,14511,1
USR_2019,7719,1
USR_2019,1943,1
USR_2019,13690,0
USR_2019,26471,0
USR_2019,8571,0
USR_2019,14285,0
USR_2019,14518,0
USR_2020,9360,1
USR_2020,10144,1
USR_2020,26273,1
USR_2020,13913,1
USR_2020,11504,1
USR_2020,8490,0
USR_2020,5015,0
USR_2020,20364,0
USR_2020,21205,0
USR_2020,6811,0
USR_2021,20004,1
USR_2021,15009,1
USR_2021,15035,1
USR_2021,12867,1
USR_2021,26822,1
USR_2021,27069,0
USR_2021,23736,0
USR_2021,21636,0
